rank,name,symbol,market_cap,price,circulating_supply,volume(24h),%1h,%24h,%7d,image_url
116,THORChain,RUNE,"$448,223,647",$1.27,"351,747,132 RUNE *","$87,805,279",0.08%,1.90%,11.70%,https://s2.coinmarketcap.com/static/img/coins/32x32/4157.png
117,APENFT,NFT,"$444,439,809",$0.064444,"999,990,000,000,000 NFT *","$34,209,220",-0.16%,0.09%,6.64%,https://s2.coinmarketcap.com/static/img/coins/32x32/9816.png
118,Pendle,PENDLE,"$435,943,085",$2.70,"161,383,690 PENDLE *","$61,203,101",0.66%,0.73%,27.80%,https://s2.coinmarketcap.com/static/img/coins/32x32/9481.png
119,eCash,XEC,"$434,179,657",$0.00002188,"19,841,554,672,583 XEC *","$15,829,508",0.27%,0.63%,5.38%,https://s2.coinmarketcap.com/static/img/coins/32x32/10791.png
120,Chiliz,CHZ,"$432,840,645",$0.04564,"9,483,150,900 CHZ *","$36,234,158",0.04%,-0.85%,2.36%,https://s2.coinmarketcap.com/static/img/coins/32x32/4066.png
121,Aerodrome Finance,AERO,"$419,635,903",$0.5237,"801,223,602 AERO *","$9,638,640",0.85%,2.96%,1.22%,https://s2.coinmarketcap.com/static/img/coins/32x32/29270.png
122,ApeCoin,APE,"$402,718,411",$0.5350,"752,651,515 APE *","$43,903,586",-0.02%,0.48%,5.96%,https://s2.coinmarketcap.com/static/img/coins/32x32/18876.png
123,Beam,BEAM,"$401,546,937",$0.008117,"49,466,004,168 BEAM *","$131,466,320",0.23%,2.60%,33.65%,https://s2.coinmarketcap.com/static/img/coins/32x32/28298.png
124,Axelar,AXL,"$400,519,568",$0.4274,"936,908,859 AXL *","$16,203,138",0.83%,2.65%,8.50%,https://s2.coinmarketcap.com/static/img/coins/32x32/17799.png
125,Pudgy Penguins,PENGU,"$397,493,942",$0.006323,"62,860,396,090 PENGU *","$32,505,952",0.19%,-0.80%,-2.40%,https://s2.coinmarketcap.com/static/img/coins/32x32/34466.png
126,FTX Token,FTT,"$391,229,333",$1.18,"328,895,104 FTT *","$18,424,695",0.23%,-2.44%,-6.01%,https://s2.coinmarketcap.com/static/img/coins/32x32/4195.png
127,Compound,COMP,"$384,251,243",$42.98,"8,939,961 COMP *","$25,140,186",0.24%,0.57%,4.68%,https://s2.coinmarketcap.com/static/img/coins/32x32/5692.png
128,Trust Wallet Token,TWT,"$376,310,461",$0.9031,"416,649,900 TWT *","$8,777,938",0.46%,0.76%,7.41%,https://s2.coinmarketcap.com/static/img/coins/32x32/5964.png
129,Official Melania Meme,MELANIA,"$371,870,836",$0.6920,"537,313,313 MELANIA *","$16,732,434",0.35%,-3.42%,4.50%,https://s2.coinmarketcap.com/static/img/coins/32x32/35347.png
130,Onyxcoin,XCN,"$364,876,770",$0.01119,"32,592,684,478 XCN *","$26,531,289",-0.38%,-1.14%,-11.41%,https://s2.coinmarketcap.com/static/img/coins/32x32/18679.png
131,Reserve Rights,RSR,"$362,461,149",$0.006484,"55,899,740,295 RSR *","$27,910,744",0.27%,3.23%,17.87%,https://s2.coinmarketcap.com/static/img/coins/32x32/3964.png
132,Terra Classic,LUNC,"$348,510,612",$0.00006400,"5,445,449,293,453 LUNC *","$10,133,710",0.23%,-0.08%,2.43%,https://s2.coinmarketcap.com/static/img/coins/32x32/4172.png
133,Wormhole,W,"$347,112,258",$0.1189,"2,917,258,800 W *","$613,741,930",0.81%,36.36%,39.53%,https://s2.coinmarketcap.com/static/img/coins/32x32/29587.png
134,Amp,AMP,"$346,163,514",$0.004109,"84,231,565,354 AMP *","$16,238,050",0.56%,0.13%,0.41%,https://s2.coinmarketcap.com/static/img/coins/32x32/6945.png
135,Grass,GRASS,"$341,871,125",$1.40,"243,905,091 GRASS *","$52,310,523",-0.31%,6.40%,2.60%,https://s2.coinmarketcap.com/static/img/coins/32x32/32956.png
136,Gnosis,GNO,"$333,624,943",$128.90,"2,588,194 GNO *","$5,721,536",0.38%,0.39%,5.29%,https://s2.coinmarketcap.com/static/img/coins/32x32/1659.png
137,Brett (Based),BRETT,"$331,888,444",$0.03348,"9,910,236,395 BRETT *","$25,218,148",0.32%,1.41%,4.55%,https://s2.coinmarketcap.com/static/img/coins/32x32/29743.png
138,Mina,MINA,"$329,801,734",$0.2699,"1,221,528,391 MINA *","$20,955,863",-0.26%,2.30%,5.36%,https://s2.coinmarketcap.com/static/img/coins/32x32/8646.png
139,Akash Network,AKT,"$329,693,280",$1.32,"248,285,795 AKT *","$27,141,244",-0.22%,5.19%,2.76%,https://s2.coinmarketcap.com/static/img/coins/32x32/7431.png
140,Morpho,MORPHO,"$323,389,989",$1.36,"236,230,123 MORPHO *","$7,440,199",-0.06%,1.74%,8.59%,https://s2.coinmarketcap.com/static/img/coins/32x32/34104.png
141,LayerZero,ZRO,"$321,894,120",$2.92,"110,000,000 ZRO *","$252,616,986",0.37%,-10.96%,29.74%,https://s2.coinmarketcap.com/static/img/coins/32x32/26997.png
142,AIOZ Network,AIOZ,"$317,871,643",$0.2728,"1,164,806,059 AIOZ *","$12,518,919",0.19%,0.61%,-4.42%,https://s2.coinmarketcap.com/static/img/coins/32x32/9104.png
143,KAITO,KAITO,"$313,439,985",$1.29,"241,388,889 KAITO *","$95,941,780",-0.38%,-1.47%,-7.98%,https://s2.coinmarketcap.com/static/img/coins/32x32/35763.png
144,JUST,JST,"$306,125,774",$0.03092,"9,900,000,000 JST *","$22,481,522",-0.27%,-0.84%,5.42%,https://s2.coinmarketcap.com/static/img/coins/32x32/5488.png
145,ZKsync,ZK,"$297,229,763",$0.08087,"3,675,000,000 ZK *","$101,478,348",-0.15%,8.54%,17.63%,https://s2.coinmarketcap.com/static/img/coins/32x32/24091.png
146,Synthetix,SNX,"$294,153,548",$0.8665,"339,466,217 SNX *","$16,587,455",0.02%,1.25%,6.06%,https://s2.coinmarketcap.com/static/img/coins/32x32/2586.png
